120	愛のしるし	
413	ありがとね。	MAKI
504	子供の落書き帳	HIROFUMI SASAKI
514	正論	SUZUKI AI
516	君のとなりに・・・	HANDSOME JET PR
517	天体観測	
600	jet coaster☆girl	TOMOSUKE FEAT. 
608	すてきな雨あがり	JYUNKO TERASHIM
609	スイマーズ	ANETTAI MAJI-SK
614	誰?	HANDSOME JET PR
617	蛹	ASAKI
700	美麗的家郷	LIU FENG
706	ツミナガラ... と彼女は謂ふ	ASAKI
717	三毛猫ロック	ANETTAI MAJI-SK
719	そっと。	SUZUKI AI
722	BRE∀K DOWN! (GF&DM STYLE)	BEFORU
731	人にやさしく	
734	ロマンス	
750	スタアの恋人	MIYUKI KUNITAKE
752	たまゆら	HIROFUMI SASAKI
753	わすれもの	HANDSOME JET PR
803	月光蝶	ASAKI
804	花の唄	CHI-CHAN
805	万華鏡	JIMMY WECKL
820	チカラ	BEFORU
825	アンダンテ	
830	チェリー	
836	大見解	DES-ROW UNITED
837	林檎と蜂蜜	ANETTAI MAJI-SK
904	この子の七つのお祝いに	ASAKI
910	カゴノトリ	ORANGE SPECIAL 
911	mint candy ☆ citrus drop	U.KI
912	しかられ日和	HANDSOME JET WI
914	蒼白	SUZUKI AI
915	ヘリコプター	PINK CAPSULE
916	ヒマワリ	RIYU FROM BEFOR
929	大切なもの	
934	浮舟	
951	バリバリブギ 〜涙のフルーツポンチ〜	HEDEL BENDEL
953	空言の海	NENE
954	螺子之人	ASAKI
960	ペパーミントは私の敵	YU TOKIWA
1004	鬼姫	ONINOKOGASHOUDA
1009	Real 〜Lサイズの夢〜	MAKI
1010	明鏡止水	TOMOSUKE FEAT.
1014	こたつとみかん	PINK CAPSULE
1015	二人はラブラブ（仮）	HANDSOME JET PR
1017	☆shining☆（GF&dm style）	RIYUANDNORIA
1027	赤い鈴	ASAKI
1034	青春狂騒曲	
1103	タラッタダンス	MORINO KUMAKO
1105	三度笠ポン太は今日も行く	YOKO ARAMAKI
1107	DOKI☆DOKI	TAEKO
1113	にゃんだふる55	DORMIR
1115	哀愁のコリゴリラ	HANDSOME JET PR
1116	ひとりぼっち	PINK CAPSULE
1122	ルックス	MELI MELO
1125	妄想学園ino-koi組	ANETTAI MAJI-SK
1129	ESCAPE TO THE SKY★彡	TERRA
1130	無常の星	P-BOMBERS
1136	孤高の花	SHACHI
1147	フレンズ	
1204	最速逃避行	TWINKLE BERRY
1211	モラトリアム	MAKI
1217	CaptivAte〜裁き〜	DJ YOSHITAKA FE
1222	しっぽのロック	ITABASHI-GANG
1223	香港☆超特急Z	STAR LIMITED CO
1226	魔法のタルト	TWINKLE BERRY
1227	蛍	ASAKI
1235	リライト	
1236	南風	
1238	上海ハニー	
1239	ツバサ	
1241	春の歌	
1244	愛のために。	
1304	虧兎に告ぐ	ASAKI
1307	七福神	ANETTAI MAJI-SK
1308	ミラージュ・レジデンス	JIMMY WECKL
1316	ギタードライブ	HANDSOME JET
1318	大和撫子魂	RIYU KOSAKA
1319	差無来！！	DES-ROW UNITED
1321	αρχη	DORMIR
1325	戻らない恋	THE PANTHERS
1326	繚乱ヒットチャート	GYRAGYRA MEGANE
1329	恋	VIVI FROM IYIYI
1335	秋風	
1337	偶然という名の必然	ROAD OF MAJOR
1340	全力少年	
1345	カルマ	
1405	極東史記	ASAKI
1422	一網打尽	96
1426	人気者なんです	TWINKLE BERRY
1428	恋は臆病	MEGUMI TATSUMI
1429	太陽〜T・A・I・Y・O〜(ANOTHER SENSE EDITION)	KANAKO HOSHINO
1439	チャンピオーネ	
1441	ガラナ	
1442	魔法のコトバ	
1444	ツヨクツヨク	
1445	遠雷 ～遠くにある明かり～	
1462	無言の街	P-BOMBERS
1505	流氷の去りて	ASAKI
1512	鏡花水月楼 (GFDM EDITION)	TERRA FEAT.UCHU
1513	腐斯偽堕日本	DES-ROW UNITED 
1516	ヒコーキ	COLORS
1517	VANESSA -転生編-	SUZAKU VS. TAG
1519	からふるぱすてる	KI KI
1525	ヒトリアソビ	INO
1526	ゴーイング　マイ　ウェイ！	MEGUMI TATSUMI 
1528	田んぼの田	GOOD-COOL FEAT.
1530	凛として咲く花の如く	BENIIROLITMUS
1540	シャングリラ	
1542	創聖のアクエリオン	
1544	メーデー	
1545	アフターダーク	
1611	ガラスの小舟	YOSHIHIKO KOEZU
1612	風神雲龍伝	98
1613	ENCORE CONQUEST	TRICK TRAP +
1614	情熱 fun! fun!	YAMATOGUMI
1621	恐怖の右脳改革	96
1626	こなもん屋人情歌	TENGACHAYAKO
1629	イジワルなあなた	MEGUMI TATSUMI 
1633	心の折れたエンジェル	KING-SHOW
1639	ブルーバード	
1640	罠	THE BACK HORN
1648	キセキ	
1704	天庭 おとこのこ編	ASAKI
1709	幻想花	KANAKO HOSHINO
1715	ほしふり	SANA
1716	クリーンクリーン	BLACK CAPSULE
1717	さよなら僕自身	PON
1719	青い鳥	JURI
1722	三毛猫JIVE＆ジャイブ	HIDEYUKI ONO
1725	紅蓮の焔	GEKIDAN RECORD 
1726	ヒカリ	MAO 
1730	Love☆Carnival	ATSUKI 
1731	Hunter〜どうしても欲しいもの〜	MEGUMI TATSUMI  
1736	真実と闘争 TRUTH AND STRUGGLE	
1738	憧れのボディービル!!	GOOD-COOL FT. S 
1740	太陽の花	
1749	人間進化論	
1750	歩み	
1752	嘘	
1754	君を守って 君を愛して	
1756	空色デイズ	
1757	気まぐれロマンティック	
1758	いちご	
1760	モナリザ	
1762	キミマチスカイ	
1765	朝から夜に	
1766	ジャパニーズロックファイター	
1767	ロレッタ	
1804	衝動がえがいた どうしようもないストーリー 	
1807	百鬼夜行	
1810	ダイヤモンドロマンス	 
1811	幻想雷神記	
1813	牛乳特急便 -まとめきれない Romantic style-	
1817	風／雷	
1819	The 勇気	
1821	ナキムシの凱旋	
1822	サヨナラナミダ	
1828	前髪	
1829	紫の月	
1831	Illuminati　〜光を求める者たち〜	
1837	イバラノミチ	
1838	ゲームより愛を込めて	
1839	Right on time (Ryu☆Remix)	
1840	明鏡止水 - Stop The Fire Mix	
1841	夢について　TYPE B	
1842	夢について　TYPE C	
1845	じょいふる	
1846	君の知らない物語	
1847	ヴィーナスとジーザス	
1848	贈る言葉	
1849	ポニーテールとシュシュ	
1854	オアシス	
1858	つぐみ	
1856	バタフライ狂想曲	
1859	虹の彼方	
1863	アンマー	
1864	卒業	
1865	たからもの	
1868	黒髪乱れし修羅となりて	
1869	優勢オーバードーズ	
1871	行き過ぎて後に	
1903	群青と流星	
1904	ハートジャック	
1905	タイムカプセル	
1907	幸せのかたち	
1910	双つ雲と暁の奏	
1911	ヤミクラ	
1912	歌の翼	
1915	夏・KOI・ムッシュ!!	
1920	星夢	
1925	侯爵夫人の陰謀	
1927	逆ナンされたのにドタキャン!!	
1933	つぼみ	
1935	アーリマン	
1940	夏祭り	
1943	ランウェイ☆ビート	
1944	耳たぶ2号	
1945	暗黒舞踏会	
1948	ＭＡＸ！乙女心	
1949	フライングゲット	
1950	笑ってたいんだ	
1953	サムライハート （Some Like It Hot!!）	
1954	星のすみか	
1956	流星☆JUMP！	
1964	concon〜INAReMIX〜	
1965	隅田川夏恋歌〜納涼mix	
1972	ギタ・ドラ・jubeat大夏祭りのテーマ	
1974	恋閃繚乱	
1975	紅焔	
1981	quaver♪ ギタドラ ver.	
1984	キルト	DES-SANA＋WPT9	
1985	愛と勇気の三度笠ポン太	
1986	辞世テンプレート	
1988	ポップミュージック続論	
2000	キケンな果実	
2001	クリムゾンゲイト	
2003	0時20分のRoulette	
2015	元禄花吹雪	
2018	ボクらのトリップデイズ	
2022	もぎたてANGEL	
2026	君と同じ季節の下	
2027	雷君	
2028	僕とサヨナラの合図	
2029	ガラス越し→バイなう	
2030	フレッフレー♪熱血チアガール	
2033	三毛猫ロックンロール	
2034	金輪際のエレジー	
2035	めうめうぺったんたん！！	
2039	雨ノチHello	
2041	俺と愛とロック	
2044	こわれそうなもの	
2047	ドリーム・キッス	
2048	戦場のタクトシュトック	
2049	空蒼ランデヴー	
2055	叫声	
2056	夜咄ディセイブ	
2058	PATRIOT'S DREAM(美しく花と散れ)	
2061	女々しくて	
2062	友よ	
2063	ロックスターと魔法のランプ	
2064	最終回STORY	
2069	魂のルフラン	
2070	SAVIOR OF SONG（feat. MY FIRST STORY）	
2074	†渚の小悪魔ラヴリィ～レイディオ† (GITADORA ver.)	
2076	此岸の戯事	
2082	量子の海のリントヴルム（GITADOROCK Ver.）	
2083	Endless Chain ～2人でトリガーをひこう～	
2084	優しさの理由	
2085	猛烈宇宙交響曲・第七楽章「無限の愛」	
2087	リアルワールド	
2089	カタルリズム	
2091	ファッションモンスター	
2093	セツナトリップ	
2094	放課後ストライド	
2095	マネマネサイコトロピック	
2096	迎撃のフォルテ	
2098	振動デザイア	
2099	ちくわパフェだよ☆ＣＫＰ	
2101	ラキラキ (GITADORA Ver.)	
2102	晴天Bon Voyage	
2104	虹色の花	
2105	お米の美味しい炊き方、そしてお米を食べることによるその効果。	
2106	創世ノート	
2111	デストロイマーチ	
2113	白虎転生録	
2114	ノンフィクションワールド	
2115	ボンビースキップ!!	
2121	見習い天使と星降りの丘	
2122	ぐっばい my crybaby	
2124	冬色	
2125	去る金合戦	
2127	猫侍の逆襲	
2130	カタルシスの月	
2132	時雨インソムニア	
2133	狂喜宴舞	
2134	羽根亡キ少女唄	
2137	アルストロメリア (GITADORA Ver.)	
2140	jkパラダイス	
2141	天ノ弱	
2142	家出少年と迷子少女	
2145	マインド・ゲーム	
2149	デッドボヲルdeホームラン	
2150	野球の遊び方　そしてその歴史　～決定版～	
2151	轟け!恋のビーンボール!!～96バット砲炸裂!GITADORAシリーズMVP弾!～	
2153	いきもの失格	
2154	少年リップルズ	
2156	情操ディストピア	
2158	愛は不死鳥の様に	
2160	狂艶ノ華	
2162	一粒のナミダ	
2163	春待ち花	
2164	ホーンテッド★メイドランチ	
2165	101回目の呪い	
2167	でんでんぱっしょん	
2168	水鏡	
2169	閃光のPRISONER	
2171	Anti Pleasure ～快楽主義者の憂鬱～	
2172	守護神	
2173	幻想系世界修復少女	
2176	ジュピターガンズノベル	
2177	残酷な天使のテーゼ	
2178	回レ！雪月花	
2179	過食性:アイドル症候群	
2180	ポップミュージック論	
2181	魚氷に上り　耀よひて	
2185	相反オポチュニティー	
2188	バンブーソード・ガール	
2196	だから君じゃない。	
2197	御千手メディテーション	
2199	星宿る空の下で	
2200	童話回廊	
2203	イブの時代っ！	
2204	都会征服Girls☆	
2205	恋とキングコング	
2206	とってもとっても、ありがとう。	
2207	虚空と光明のディスクール	
2208	滅びに至るエランプシス	
2209	走れメロンパン	
2210	凛として咲く花の如く ～ひなビタ♪ edition～	
2211	果たし状	
2214	今宵フラクタル	
2215	温故知新でいこっ！	
2216	あなたが思うより愛していた	
2220	たまごの物理科学的 及び調理特性に関しての調査、そしてその考察	
2222	夕星の芒野と消ゆ	
2225	天地動伝説	
2226	九尾狐夜行	
2227	幽明異境	
2228	滅亡天使 † にこきゅっぴん	
2230	煌-灼熱の裁き-	
2231	乙女繚乱 舞い咲き誇れ	
2232	凱歌の奏	
2234	ブラックホール	
2237	めた・メタ？ひまわり＊パンチ -デモテープVer.-	
2238	めた・メタ？ひまわり＊パンチ	
2239	恋のミラクルレシピ	
2242	ララバイ哀愁	
2244	サヨナラ・ヘヴン -GITADOROCK ver.-	
2245	青い月	
2246	箱庭の世界	
2249	メギツネ	
2251	有頂天ビバーチェ	
2252	ディストピア・ロックヒーロー	
2253	天国ミュージック	
2254	真摯撃情マイペース	
2256	ほおずき程度には赤い頭髪	
2257	HAPPY！　LUCKY！　SUNFLOWER！	
2258	水面静かに大地の烈日わたらせて 　-Remaster-	
2259	炎のDiargos	
2261	狂鬼村正	
2264	あたしを○○してください	
2265	葬送のエウロパ	
2267	虹色遊園地	
2271	夏色DIARY -GITADORA style-	
2272	輪廻転生	
2278	恋する☆宇宙戦争っ！！（GITADOROCK ver.）	
2279	ファントムベロニカ	
2280	はなまるぴっぴはよいこだけ	
2281	激アツ☆マジヤバ☆チアガール	
2282	紅蓮	
2283	HOTELエイリアン	
2284	漆黒のスペシャルプリンセスサンデー	
2285	いま　我々にできること	
2286	追想 -SHINY DAYS-	
2290	地方創生☆チクワクティクス	
2291	太陽の子	
2293	ラキ☆ハピDAYS	
2295	フラッター現象の顛末と単一指向性の感情論	
2297	天穹鳥-TEN・KYU・CHO-	
2299	僕ガ壊レル前ニ	
2300	混ぜるな危険	
2301	全力バタンキュー	
2302	透明はまだらに世界を告げて	
2303	京	
2304	悠久のPEGASUS	
2307	異常震域	
2308	アンモノクローム	
2311	水月鏡花のコノテーション	
2312	ぽかぽかレトロード	
2313	完全無欠の無重力ダイブ	
2314	エキサイティング！！も・ちゃ・ちゃ☆	
2315	とびっきりのふわっふわ	
2316	3 A.M. ディテクティブ・ゲーム	
2318	どきドキ バレンタイン	
2319	激情ノ華ト散ルラン	
2322	彩	
2328	ジャガー人間の受難	
2330	黒髪乱れし修羅となりて～凛 edition～	
2331	終極	
2332	超獣戯画	
2333	モフモフしたいの	
2338	遊戯大熊猫	
2339	ブランコ	
2342	ユグドラシルの欠片	
2343	垓	
2347	サイレンサイン	
2348	カケラ	
2349	鎖～KUSARI～	
2351	グッバイジョニーA	
2352	明けぬ夜	
2356	Good bye, Summer～さよならは言わない～	
2358	ラジカル少女	
2359	朝顔ノ涙	
2360	在るが儘に	
2361	怒りと共に去りぬ！！	
2362	スカイダイバー	
2363	六花にくちづけ	
2364	零の位相	
2365	航海 ～ Seven Colors ～	
2366	時の妖花	
2371	拍子迷宮	
2373	アンタレス	
2374	つまり・・・Gブルース！	
2377	色ハニホヘト散リヌルヲ	
2378	摩天楼ノ特異点〜Anti;HERO	
2382	タンポポ	
2385	瑞鳥	
2388	刹那	
2390	朧	
2392	主亡き機械人形のまなざし	
2396	傷だらけの硝子	
2398	ギミチョコ！！	
2399	シュガーソングとビターステップ	
2400	海の声	
2404	†闇鍋☆ROCK†	
2410	ギタドライト	
2411	ギタドラシカ	
2413	KING G （2017Mix）	
2415	大好きなぬいぐるみ	
2416	星宿る空の下で　枝に結ぶ願い	
2418	グローイングローイン	
2421	ミカヅキ:コネクト	
2423	幾何学的『トリックスター』	
2424	夢色☆スパイラル!!!!!	
2425	出口入口	
2427	失恋かぞえうた	
2430	背水之陣	
2433	ようこそジャパリパークへ	
2435	想像だけで素晴らしいんだ	
2437	一夜のキセキ	
2438	準備運動	
2442	桐一葉	
2443	とびきりシュガータイム	
2445	ヤオヨロズランズ	
2446	絶え果つ花の都より	
2448	ピースサイン	
2449	君と野獣	
2452	シャルル	
2453	ミラクル・スイート・スイーツ・マジック！！	
2454	ナイト・オブ・ロンド	
2456	けもののおうじゃ★めうめう	
2457	銃弾は解を撃ち抜いて	
2458	キリステゴメン	
2459	シノビシノノメ	
2462	嘘だらけの僕から出た言葉	
2463	君氏危うくも近うよれ	
2467	最強ゲームエンド	
2473	紫電一閃	
2474	明日へと続く物語	
2475	チョコレートスマイル	
2477	フリップブック＊ストーリー	
2478	まぼろしウインク	
2480	立ち入り禁止	
2481	解読不能	
2482	春雷	
2483	シルエット	
2485	レゾンデートル、前線より	
2489	恋のメロディー	
2491	さんぼんがわ	
2496	煉獄事変	
2500	キヤロラ衛星の軌跡	
2502	君も天真爛漫	
2504	真夏のMotion☆	
2506	星座が恋した瞬間を。	
2513	鬼華-修羅の舞-	
2514	ビター・エスケープ	
2515	無垢	
2519	天空ノ桜閣	
2523	透明ジャスティス	
2528	ひまわり＊EXCHAIN	
2529	グリーンリーフ症候群	
2533	××警告	
2534	言って。	
2535	U.N.オーエンは彼女なのか？	
2537	シンクロフィッシュ	
2538	千本桜	
2540	霖が哭く	
2541	万物快楽理論	
2543	ひと夏の戯れYeah!!Samba	
2544	一夜のキセキ (Long Version)	
2547	狂髪天を撫でて綴れ雲の綻び　五体北風に散りて痕も無し	
2549	かつて描いた夢は、今も色褪せぬまま。	
2550	堕羅朽	
2554	リドル	
2557	東京ライドオンタイム	
2560	HUΣER × YVYA	
2561	箱庭のエチュード	
2562	たたえよ！絶対覇権アリーシャ帝国	
2563	おにぎりディスコ	
2567	蛹　再	
2569	全弦開放（イーマイナーイレブン）	
2570	ゆえに愛ソーバッド	
2573	50th Memorial Songs -二人の時 ～under the cherry blossoms～-	
2575	されど奇術師は賽を振る	
2576	眠りの国のステラ	
2577	最後のつよがり	
2580	ツミナガラ... と彼女は謂ふ -再-	
2581	幸せの代償	
2586	美麗的夏日風	
2587	悪魔のハニープリン	
2589	紅花	
2591	最小三倍完全数 (GITADORA Style)	
2594	おーまい！らぶりー！すうぃーてぃ！だーりん！	
2598	ミッドナイト☆WAR	
2599	宵街アテンション	
2600	超速戦士ギタドラス	
2601	拍子迷宮2	
2602	天弓ノ舞	
2605	雷鳴	
2608	オトベアえかきうた	
2609	純真可憐デザイア	
2610	十界	
2611	彼女は快刀乱麻（GITADORA ver.）	
2613	透明な花	
2614	愛という名の花をあなたに	
2616	若者のすべて	
2618	白日	
2619	ただ君に晴れ	
2621	１・２・３	
2624	天泣	
2626	ランカーキラーガール	
2627	未練タラッタ	
2628	ヘンテコ	
2629	ソリッド	
2630	運命	
2632	拙者拙者拙者拙者	
2641	ピンクのボーダーライン	
2642	蠅の王	
2645	紅蓮華	
2649	ラブキラ☆スプラッシュ -GITADORA EDITION-	
2650	至上のラトゥーリア	
2652	逆さま シンデレラパレード	
2653	御伽噺に幕切れを	
2655	狂水一華 -GITADORA EDITION-	
2657	不可説不可説転	
2661	星屑のフラワーレター	
2662	追憶のアリア	
2664	ぱんだしんけん1、2、3 ～ちえ！おっしょさんにはかなわないや！～	
2665	カヨワキコイノウタ	
2668	叛逆のディスパレート	
2669	NEX＋AGE	
2670	ラビカル：トラップ	
2678	ハラショー！おにぎりサーカス団☆	
2679	イノセントバイブル	
2680	ここからよろしく大作戦143	
2695	40℃ Desert	
2697	プログレなぞなぞクイズのテーマ	
2698	世界の果てに約束の凱歌を -GITADORA EDITION-	
2711	ウソツキ横丁は雨模様	
5005	子供の落書き帳 (CLASSIC)	
5006	正論 (CLASSIC)	
5007	jet coaster☆girl (CLASSIC)	
5008	蛹 (CLASSIC)	
5010	三毛猫ロック (CLASSIC)	
5011	BRE∀K DOWN! (GF&DM STYLE) (CLASSIC)	
5012	万華鏡 (CLASSIC) 	
5017	鬼姫 (CLASSIC) 	
5019	こたつとみかん (CLASSIC)	 
5026	CaptivAte〜裁き〜 (CLASSIC)	
5030	繚乱ヒットチャート (CLASSIC)	
5031	ミラージュ・レジデンス (CLASSIC)	
5032	αρχη (CLASSIC)	
5034	天体観測 (CLASSIC)	
5036	一網打尽 (CLASSIC)	
5037	からふるぱすてる (CLASSIC)	
5038	田んぼの田 (CLASSIC)	
5039	凛として咲く花の如く (CLASSIC)	
5041	風神雲龍伝 (CLASSIC)	
5044	イジワルなあなた (CLASSIC)	
5050	ほしふり (CLASSIC)	
5052	Shake and Shout！！ (CLASSIC)	
5053	憧れのボディービル!! (CLASSIC)	
5056	幻想雷神記 (CLASSIC)	
5058	ゲームより愛を込めて (CLASSIC)	
5059	Illuminati　〜光を求める者たち〜 (CLASSIC)	
5064	蒼白 (CLASSIC)	
5068	極東史記 (CLASSIC)	
5070	恐怖の右脳改革 (CLASSIC)	
5072	たまゆら (CLASSIC)	
5073	ルックス (CLASSIC)	
5075	恋は臆病 (CLASSIC)	
5076	VANESSA -転生編- (CLASSIC)	
5085	明鏡止水 (CLASSIC)	